,game_code,date,team,side,opp,PA,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest
21,CHW-2016-05-25,2016-05-25,CLE,A,CHW,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
22,CLE-2016-05-30,2016-05-30,CLE,H,TEX,3,0.2,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,4
23,CLE-2016-06-01,2016-06-01,CLE,H,TEX,4,1.0,1,1,0,0,0,1,0,0,0,0,1,2,1,1,0,1
24,SEA-2016-06-06,2016-06-06,CLE,A,SEA,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4
25,SEA-2016-06-09,2016-06-09,CLE,A,SEA,6,1.1,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,2
26,KCR-2016-06-15,2016-06-15,CLE,A,KCR,3,1.0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,5
27,CLE-2016-06-17,2016-06-17,CLE,H,CHW,5,1.0,1,2,2,0,0,0,0,2,0,0,0,1,2,2,0,1
28,CLE-2016-06-19,2016-06-19,CLE,H,CHW,4,1.0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1
29,CLE-2016-06-20,2016-06-20,CLE,H,TBR,3,1.0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0
30,DET-2016-06-24,2016-06-24,CLE,A,DET,5,1.0,0,2,0,0,0,0,0,1,0,1,0,2,2,1,0,3
31,ATL-2016-06-28,2016-06-28,CLE,A,ATL,5,1.0,1,2,0,1,1,0,0,1,0,0,0,1,3,0,0,3
32,ATL-2016-06-29,2016-06-29,CLE,A,ATL,5,1.0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,0
33,TOR-2016-06-30,2016-06-30,CLE,A,TOR,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
34,CLE-2016-07-04,2016-07-04,CLE,H,DET,3,1.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,3
35,CLE-2016-07-07,2016-07-07,CLE,H,NYY,5,1.0,0,2,0,0,0,0,0,2,0,0,0,1,2,1,1,2
36,CLE-2016-07-09,2016-07-09,CLE,H,NYY,7,2.0,0,2,1,0,0,0,0,1,0,0,1,1,5,1,0,1
37,MIN-2016-07-15,2016-07-15,CLE,A,MIN,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,5
38,MIN-2016-07-16,2016-07-16,CLE,A,MIN,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
39,KCR-2016-07-19,2016-07-19,CLE,A,KCR,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2
40,BAL-2016-07-24,2016-07-24,CLE,A,BAL,4,0.2,0,1,0,0,1,0,0,2,0,0,0,1,1,0,0,4
41,CLE-2016-07-27,2016-07-27,CLE,H,WSN,3,1.0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2
42,CLE-2016-07-29,2016-07-29,CLE,H,OAK,5,1.0,0,2,0,0,0,0,0,2,0,0,0,0,3,2,0,1
43,CLE-2016-07-30,2016-07-30,CLE,H,OAK,4,1.0,1,1,0,0,1,0,0,0,0,0,0,1,3,2,0,0
44,CLE-2016-08-02,2016-08-02,CLE,H,MIN,1,0.2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
45,NYY-2016-08-07,2016-08-07,CLE,A,NYY,3,1.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
46,WSN-2016-08-09,2016-08-09,CLE,A,WSN,4,1.0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1
47,CLE-2016-08-13,2016-08-13,CLE,H,LAA,3,1.0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,3
48,CLE-2016-08-14,2016-08-14,CLE,H,LAA,3,1.0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
49,CLE-2016-08-16,2016-08-16,CLE,H,CHW,3,1.0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1
50,CLE-2016-08-17,2016-08-17,CLE,H,CHW,6,0.1,5,4,0,0,1,1,0,1,0,0,0,2,2,1,1,0
51,CLE-2016-08-21,2016-08-21,CLE,H,TOR,5,1.0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,3
52,TEX-2016-08-26,2016-08-26,CLE,A,TEX,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4
